sentence1	sentence2	similarity
M?t cì g†i ?ang tr??t v†n tràn m?t n?a ???ng ?ng	M?t v?n ??ng viàn tr??t v†n ?ang th?c hi?n c†c pha nhÖo l?n tràn ???ng ?ng n?a k°n	0.8
M?t v?n ??ng viàn tr??t v†n ?ang th?c hi?n c†c pha nhÖo l?n tràn ???ng ?ng n?a k°n	M?t ng??i ?Ön ìng ?ang tr??t v†n tràn m?t n?a ???ng ?ng	0.88
M?t con ch¢ l?n ?ang ch?y tràn m?t ??t	M?t con ch¢ ?ang ch?y tràn m?t ??t	0.84
M?t cì g†i ?ang g? m¢ng tay c?a mçnh	M?t c?u bÇ ?ang g? m¢ng tay c?a mçnh	0.737
M?t con ch¢ ?ang ng?i tràn m?t ??t	M?t cì g†i ?ang g? m¢ng tay c?a mçnh	0.2
M?t con ch¢ ?ang ch?y tràn m?t ??t	M?t cì g†i ?ang g? m¢ng tay c?a mçnh	0.2
M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang l†i xe jeep tràn ph?	Hai ng??i ?ang l†i xe jeep tràn ph?	0.9
M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang l†i xe jeep tràn ph?	M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? khìng l†i xe jeep xu?ng ph?	0.88
M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang l†i xe tràn ???ng trong m?t chi?c xe mui tr?n	Hai ng??i ?ang l†i xe jeep tràn ph?	0.82
M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? khìng l†i xe jeep xu?ng ph?	M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang l†i xe tràn ???ng trong m?t chi?c xe mui tr?n	0.88
M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang l†i xe jeep tràn ph?	M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang l†i xe tràn ???ng	0.86
M?t ng??i ph? n? ?ang ?? c†c nguyàn li?u vÖo b†t	M?t ng??i ph? n? ?ang ?? nguyàn li?u vÖo b†t	0.963
Khìng c¢ ng??i ph? n? nÖo ?? nguyàn li?u vÖo b†t	M?t ng??i ph? n? ?ang ?? nguyàn li?u vÖo b†t	0.8
??u b?p ?ang nàm d?u	Ng??i ph? n? ?ang nàm d?u	0.82
M?t ng??i ph? n? ?ang ?? c†c nguyàn li?u vÖo b†t	Ng??i ph? n? ?ang nàm d?u	0.66
M?t ng??i ?ang c??i ng?a	Khoai tÉy ?ang ???c m?t ng??i ph? n? c?t l†t	0.2
M?t ng??i ?ang c??i ng?a	Khìng c¢ ng??i ph? n? nÖo ?ang th†i khoai tÉy	0.2
M?t ng??i ph? n? ?ang th†i khoai tÉy	M?t ng??i ?ang c??i ng?a	0.2
Ng??i ?Ön ìng ?ang t?p luy?n	Ng??i ?Ön ìng ?ang t?p th? d?c	0.78
Hai ng??i ?Ön ìng ?ang ìm nhau	Ng??i ?Ön ìng ?ang t?p th? d?c	0.28
Hai ng??i ?Ön ìng ?ang ?†nh nhau	Ng??i ?Ön ìng ?ang t?p th? d?c	0.4
M?t ng??i ?Ön ìng ?ang cho rau vÖo n?i	Ai ?¢ ?ang thàm nguyàn li?u vÖo n?i	0.86
Khìng ai ?? nguyàn li?u vÖo n?i	M?t ng??i ?Ön ìng ?ang cho rau vÖo n?i	0.72
Ng??i ?Ön ìng ?ang ??ng tràn m?t ng?n n£i ?† vÖ nh?ng ?†m mÉy x†m ? ph°a sau	Ng??i ?Ön ìng ?ang ??ng tràn m?t ng?n n£i ?† vÖ nh?ng ?†m mÉy x†m ? ph°a sau	0.94
"M?t ng??i ?eo ba lì, ng?c tr?n, ??ng tr??c m?t ??ng ?† vÖ nh?ng ?†m mÉy ? ph°a sau"	M?t ng??i khìng m?c †o v?i m?t chi?c ba lì ?ang ? ph°a tr??c m?t ??ng ?† vÖ nh?ng ?†m mÉy ? ph°a sau	1
M?t ng??i khìng m?c †o v?i m?t chi?c ba lì ?ang ? ph°a tr??c m?t ??ng ?† vÖ nh?ng ?†m mÉy ? ph°a sau	M?t ng??i m?c qu?n †o ??y ?? ??ng sau m?t ??ng ?† vÖ b?u tr?i trong xanh ? ph°a sau	0.54
Ng??i ?Ön ìng ?ang ??ng tràn m?t ng?n n£i ?† vÖ nh?ng ?†m mÉy x†m ? ph°a sau	M?t ng??i m?c qu?n †o ??y ?? ??ng sau m?t ??ng ?† vÖ b?u tr?i trong xanh ? ph°a sau	0.6
Ng??i ?Ön ìng ?ang ??ng tràn m?t ng?n n£i ?† vÖ nh?ng ?†m mÉy x†m ? ph°a sau	M?t ng??i ?Ön ìng da ?en ?? ng?c tr?n ?ang ch?t m?t ??ng ?† vÖ m?t ?†m mÉy ? ph°a sau	0.58
Con ch¢ ?ang b?t m?t qu? b¢ng	M?t con ch¢ ?ang b?t m?t qu? b¢ng	1
M?t con ch¢ ?ang b?t m?t qu? b¢ng	M?t con ch¢ ?ang ?u?i theo m?t qu? b¢ng m?t c†ch gi?n d? qua ??t	0.82
M?t con ch¢ ?ang ?u?i theo m?t qu? b¢ng trong ??t	M?t con ch¢ ?ang b?t m?t qu? b¢ng	0.68
M?t ??a tr? c¢ m†i t¢c vÖng ?ang c?m m?t c†i chai mÖu vÖng	M?t ??a tr? t¢c vÖng ?ang c?m m?t c†i chai mÖu vÖng	0.98
M?t ??a tr? t¢c vÖng ?ang c?m m?t c†i chai mÖu vÖng	Khìng c¢ ??a tr? t¢c vÖng nÖo c?m chai mÖu vÖng	0.74
M?t ??a tr? c¢ m†i t¢c vÖng ?ang c?m m?t c†i chai mÖu vÖng	M?t c?u bÇ m?c †o s? mi xanh c¢ b?i b?n tràn m?t	0.3
M?t c?u bÇ m?c †o s? mi nhu?m mÖu xanh c¢ b?i b?n tràn m?t	M?t ??a tr? t¢c vÖng ?ang c?m m?t c†i chai mÖu vÖng	0.22
M?t ??a tr? t¢c vÖng ?ang c?m m?t c†i chai mÖu vÖng	M?t c?u bÇ c¢ khuìn m?t xanh xao vÖ b?i b?n tràn †o	0.36
Ng??i ?Ön ìng ??i m? phó h?p v?i cao b?i ?ang ?i b? qua m?t khu ch? vÖ ?ang ?£t tay vÖo t£i	Ng??i ?Ön ìng ??i m? cao b?i ?ang ?i b? qua m?t khu ch? vÖ ?ang ?£t tay vÖo t£i	0.96
Ng??i ?Ön ìng ??i m? cao b?i ?ang ?i b? qua m?t khu ch? vÖ ?ang ?£t tay vÖo t£i	Ng??i ?Ön ìng ??i m? cao b?i khìng ?i qua ch? vÖ khìng ?£t tay vÖo t£i	0.72
Ng??i ?Ön ìng ??i m? phó h?p v?i cao b?i ?ang ?i b? qua m?t khu ch? vÖ ?ang ?£t tay vÖo t£i	M?t ng??i ?Ön ìng ??i m? ?ang ?i qua m?t c?a hÖng	0.78
M?t ng??i ?Ön ìng ??i m? ?ang ?i qua m?t c?a hÖng	Ng??i ?Ön ìng ??i m? cao b?i khìng ?i qua ch? vÖ khìng ?£t tay vÖo t£i	0.5
M?t ng??i ?Ön ìng ??i m? ?ang ?i qua ?i l?i trong c?a hÖng	Ng??i ?Ön ìng ??i m? cao b?i ?ang ?i b? qua m?t khu ch? vÖ ?ang ?£t tay vÖo t£i	0.62
M?t ng??i ?Ön ìng ??i m? ?ang ?i qua m?t c?a hÖng	Ng??i ?Ön ìng ??i m? cao b?i ?ang ?i b? qua m?t khu ch? vÖ ?ang ?£t tay vÖo t£i	0.82
M?t con s?u tr?ng l?n ?ang bay g?n m?t n??c	M?t con s?u l?n vÖ tr?ng ?ang bay g?n m?t n??c	0.98
M?t con chim tr?ng ?ang nhanh ch¢ng bay làn kh?i m?t n??c	M?t con chim tr?ng ?ang ?†p xu?ng n??c m?t c†ch nhanh ch¢ng	0.72
M?nh ??t g?n m?t con chim tr?ng ?ang ???c t??i n??c nhanh ch¢ng	M?t con chim tr?ng ?ang ?†p xu?ng n??c m?t c†ch nhanh ch¢ng	0.58
Con chim tr?ng ?ang ?†p xu?ng n??c m?t c†ch nhanh ch¢ng	M?t con s?u tr?ng l?n ?ang bay g?n m?t n??c	0.7
M?t con s?u tr?ng l?n ?ang bay g?n m?t n??c	M?t con chim tr?ng ?ang nhanh ch¢ng bay làn kh?i m?t n??c	0.82
M?nh ??t g?n m?t con chim tr?ng ?ang ???c t??i n??c nhanh ch¢ng	M?t con s?u tr?ng l?n ?ang bay g?n m?t n??c	0.44
M?t con chim tr?ng ?ang ?†p xu?ng n??c m?t c†ch nhanh ch¢ng	M?t con s?u l?n vÖ tr?ng ?ang bay g?n m?t n??c	0.84
M?t con s?u tr?ng l?n ?ang bay cao tràn m?t n??c	M?t con chim tr?ng ?ang ?†p xu?ng n??c m?t c†ch nhanh ch¢ng	0.58
M?t con ch¢ c¢ b? lìng vÖng ?ang ? trong n??c	M?t con ch¢ c¢ b? lìng vÖng ?ang ? trong n??c	0.98
M?t con ch¢ c¢ b? lìng vÖng ?ang ? trong n??c	M?t ch£ ch¢ nÉu ?ang bçnh t?nh ??ng d??i n??c	0.783
Cì g†i ?ang c?m m?t t?m bi?n vÖ m?t nh¢m ng??i ?ang ?i theo cì ?y	Cì g†i ?ang c?m m?t t?m bi?n vÖ ?ang b? m?t nh¢m ng??i ?i theo	0.98
Cì g†i ?ang c?m m?t t?m bi?n vÖ m?t nh¢m ng??i ?ang ?i theo cì ?y	Cì g†i khìng mang theo bi?n b†o vÖ khìng c¢ nh¢m ng??i nÖo ?i theo cì ?y	0.74
M?t ng??i ?Ön ìng ? m?t thÖnh ph? l?n ?ang gi? t?m bi?n vÖ xin ti?n	M?t ng??i ?Ön ìng ? m?t thÖnh ph? l?n ?ang c?m m?t t?m bi?n vÖ c?u xin ti?n	1
M?t ng??i ?Ön ìng ? m?t thÖnh ph? l?n ?ang c?m m?t t?m bi?n vÖ c?u xin ti?n	M?t ng??i ?Ön ìng ? m?t thÖnh ph? nh? ?ang lÖm cìng t†c t? thi?n	0.56
M?t ng??i ?Ön ìng vì gia c? ?ang gi? t?m bi?n vÖ xin ti?n	M?t ng??i ?Ön ìng vì gia c? ?ang gi? t?m bi?n vÖ ?†ng th??ng c?u xin ti?n	0.98
M?t ng??i ?Ön ìng ? m?t thÖnh ph? l?n ?ang c?m m?t t?m bi?n vÖ c?u xin ti?n	M?t ng??i ?Ön ìng vì gia c? ?ang ??t m?t t?m bi?n vÖ t? ch?i m?t s? ti?n t? thi?n	0.6
M?t ng??i ?Ön ìng vì gia c? ?ang gi? t?m bi?n vÖ xin ti?n	M?t ng??i ?Ön ìng ? m?t thÖnh ph? nh? ?ang lÖm cìng t†c t? thi?n	0.48
M?t con ch¢ ?ang ?u?i theo ?uìi c?a m?t con v?t trong c?	C†i ?uìi c?a m?t con v?t ?ang b? m?t con ch¢ ?u?i theo trong c?	0.98
M?t con ch¢ ?ang ?i xa kh?i ?uìi c?a m?t con v?t trong c?	M?t con ch¢ ?ang ?u?i theo ?uìi c?a m?t con v?t trong c?	0.62
M?t con ch¢ nh? ?ang ?u?i theo m?t con bï nÉu l?n	C†i ?uìi c?a m?t con v?t ?ang b? m?t con ch¢ ?u?i theo trong c?	0.58
M?t con ch¢ nh? ?ang ?u?i theo m?t con bï nÉu l?n	M?t con ch¢ ?ang ?i xa kh?i ?uìi c?a m?t con v?t trong c?	0.5
Khìng c¢ con ch¢ nh? nÖo ?u?i theo m?t con bï nÉu l?n	M?t con ch¢ ?ang ?u?i theo ?uìi c?a m?t con v?t trong c?	0.66
??a tr? nh? ?ang l?i qua n??c vÖ ???c m?t ng??i kh†c h??ng d?n	??a tr? nh? khìng l?i qua n??c vÖ khìng ???c ng??i kh†c h??ng d?n	0.9
M?t ??a tr? ?ang tÇ n??c	Khìng c¢ ??a tr? nÖo ?ang tÇ n??c	0.8
M?t ??a tr? ?ang t??i n??c cho cÉy b?ng vïi phun	M?t ??a tr? ?ang tÇ n??c	0.7
??a tr? nh? ?ang l?i qua n??c vÖ ???c m?t ng??i kh†c h??ng d?n	M?t ??a tr? ?ang t??i n??c cho cÉy b?ng vïi phun	0.4
??a tr? nh? ?ang l?i qua n??c vÖ ???c m?t ng??i kh†c h??ng d?n	M?t ??a tr? ?ang tÇ n??c	0.7
M?t ng??i ph? n? ?ang tï mï nhçn m?t ng??i ?Ön ìng	M?t ng??i ?Ön ìng ?ang b? m?t ng??i ph? n? tï mï nhçn	0.88
M?t ng??i ph? n? ?ang tï mï nhçn m?t ng??i ?Ön ìng	M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang ? bàn ngoÖi vÖ m?c †o s? mi mÖu s†ng	0.32
M?t ng??i ?Ön ìng ?ang b? m?t ng??i ph? n? tï mï nhçn	"M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang ? trong m?t c?n phïng mÖu be, m?c †o s? mi t?i mÖu vÖ m?t mÖn hçnh ? ph°a sau"	0.54
M?t ng??i ph? n? ?ang l? ?i m?t ng??i ?Ön ìng	"M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang ? trong m?t c?n phïng mÖu be, m?c †o s? mi t?i mÖu vÖ m?t mÖn hçnh ? ph°a sau"	0.38
M?t ng??i ph? n? ?ang tï mï nhçn m?t ng??i ?Ön ìng	"M?t ng??i ?Ön ìng vÖ m?t ng??i ph? n? ?ang ? trong m?t c?n phïng mÖu be, m?c †o s? mi t?i mÖu vÖ m?t mÖn hçnh ? ph°a sau"	0.48
Ch£ ch¢ nh? ?ang ngo?m chi?c dÇp trong phïng ng? b?ng mi?ng m?t c†ch bu?n c??i	Con ch¢ nh? ?ang ng?m chi?c dÇp trong phïng ng? b?ng mi?ng	0.96
M?t con ch¢ nÉu ?ang nhçn k? m?t con ch¢ nÉu vÖ tr?ng	M?t con ch¢ nÉu ?ang ch?m ch£ nhçn m?t con ch¢ nÉu vÖ tr?ng	0.96
M?t con ch¢ nÉu ?ang ch?m ch£ nhçn m?t con ch¢ nÉu vÖ tr?ng	Ch£ ch¢ nh? ?ang ngo?m chi?c dÇp trong phïng ng? b?ng mi?ng m?t c†ch bu?n c??i	0.5
M?t con ch¢ nÉu ?ang ch?m ch£ nhçn m?t con ch¢ nÉu vÖ tr?ng	Con ch¢ nh? ?ang th? chi?c dÇp trong phïng ng? ra kh?i mi?ng	0.48
M?t ng??i m?c †o kho†c xanh ?ang nh?y xu?ng t? b?c t??ng xi m?ng cao	M?t ng??i m?c †o kho†c mÖu xanh ?ang nh?y xu?ng t? b?c t??ng xi m?ng cao	0.98
M?t ng??i m?c †o kho†c mÖu xanh ?ang nh?y xu?ng t? b?c t??ng xi m?ng cao	Ng??i ?Ön ìng ?ang th?c hi?n m?t c£ nh?y l?n	0.68
M?t ng??i m?c †o kho†c xanh ?ang nh?y xu?ng t? b?c t??ng xi m?ng cao	Ng??i ?Ön ìng khìng th?c hi?n c£ nh?y l?n	0.547
M?t ng??i ph? n? m?c qu?n jean ?ang ng?i tràn yàn ng?a	M?t ng??i ph? n? m?c qu?n jean ?ang ??ng g?n m?t con ng?a c¢ yàn	0.7
M?t ng??i m?c qu?n jean ?ang ng?i tràn yàn ng?a	Khìng c¢ ng??i nÖo m?c qu?n jean ng?i tràn yàn ng?a	0.74
Ng??i ph? n? m?c qu?n jean ?ang ng?i tràn yàn ng?a	M?t ng??i m?c qu?n jean ?ang ng?i tràn yàn ng?a	0.86
M?t ng??i ph? n? m?c qu?n jean ?ang ng?i tràn yàn ng?a	M?t ng??i m?c qu?n jean ?ang ng?i tràn yàn ng?a	0.86
Con ch¢ nÉu vÖ con ch¢ ?? ?ang nì ?óa tràn b?i bi?n	M?t con ch¢ nÉu vÖ m?t con ch¢ ?? ?ang nì ?óa tràn b?i bi?n	0.98
M?t con ch¢ nÉu vÖ m?t con ch¢ ?? ?ang ng?i bu?n b? tràn b?i bi?n	M?t con ch¢ nÉu vÖ m?t con ch¢ ?? ?ang nì ?óa tràn b?i bi?n	0.78
Nh?ng ch£ ch¢ nÉu ?ang ?óa gi?n ?†nh nhau tràn b?i c†t	Nh?ng ch£ ch¢ nÉu ?ang ?óa gi?n ?†nh nhau tràn b? c†t	0.96
Nh?ng ch£ ch¢ nÉu ?ang ?óa gi?n ?†nh nhau tràn b?i c†t	Nh?ng ch£ ch¢ nÉu khìng ?óa gi?n ?†nh nhau tràn b?i c†t	0.74
Nh?ng ch£ ch¢ nÉu khìng ?óa gi?n ?†nh nhau tràn b?i c†t	M?t con ch¢ nÉu vÖ m?t con ch¢ ?? ?ang nì ?óa tràn b?i bi?n	0.72
Ng??i ?Ön ìng ?ang ??ng v?ng bàn c?nh m?t chi?c l?ng chim	Ng??i ?Ön ìng ?ang ??ng c?nh m?t chi?c l?ng chim	0.9
Ng??i ?Ön ìng ?ang ng?i c?nh m?t chi?c l?ng chim	Ng??i ?Ön ìng ?ang ??ng c?nh m?t chi?c l?ng chim	0.9
Khìng c¢ ng??i ?Ön ìng nÖo ??ng c?nh m?t chi?c l?ng chim l?n vÖ ??y mÖu s?c	M?t ng??i ?Ön ìng ?ang ??ng c?nh m?t chi?c l?ng chim l?n vÖ ??y mÖu s?c	0.92
M?t ng??i ?Ön ìng ?ang ??ng c?nh m?t chi?c l?ng chim l?n vÖ ??y mÖu s?c	Ng??i ?Ön ìng ?ang ??ng c?nh m?t chi?c l?ng chim	0.92
Ng??i ?Ön ìng ?ang ??ng v?ng bàn c?nh m?t chi?c l?ng chim	M?t ng??i ?Ön ìng ?ang ??ng c?nh m?t chi?c l?ng chim l?n vÖ ??y mÖu s?c	0.88
M?t ng??i ?Ön ìng ?ang ??ng c?nh m?t chi?c l?ng chim l?n vÖ ??y mÖu s?c	Ng??i ?Ön ìng ?ang ng?i c?nh m?t chi?c l?ng chim	0.64
M?t con ch¢ nÉu vÖ ?en ?ang ch?y qua nh?ng chi?c l†	M?t con ch¢ nÉu vÖ ?en ?ang ch?y qua nh?ng chi?c l†	0.96
M?t con ch¢ nÉu vÖ ?en ?ang ch?y qua nh?ng chi?c l†	M?t con ch¢ vÖ m?t ng??i ?Ön ìng da ?en ?ang ch?y qua nh?ng chi?c l† mÖu nÉu	0.68
M?t con ch¢ trong b? lìng mÖu ?ang ch?y nhanh qua sÉn	M?t con ch¢ m?c b? lìng mÖu ?ang ch?y qua sÉn	0.86
Khìng c¢ con ch¢ nÖo m?c †o kho†c mÖu ch?y qua sÉn	M?t con ch¢ m?c b? lìng mÖu ?ang ch?y qua sÉn	0.74
M?t con ch¢ m?c b? lìng mÖu ?ang ch?y qua sÉn	M?t con ch¢ trong sÉn ?ang ch?y qua nh?ng chi?c †o kho†c mÖu	0.66
M?t con ch¢ nÉu vÖ ?en ?ang ch?y qua nh?ng chi?c l†	Khìng c¢ con ch¢ nÖo m?c †o kho†c mÖu ch?y qua sÉn	0.62
M?t con ch¢ trong sÉn ?ang ch?y qua nh?ng chi?c †o kho†c mÖu	M?t con ch¢ nÉu vÖ ?en ?ang ch?y qua nh?ng chi?c l†	0.52
M?t con ch¢ m?c b? lìng mÖu ?ang ch?y qua sÉn	M?t con ch¢ vÖ m?t ng??i ?Ön ìng da ?en ?ang ch?y qua nh?ng chi?c l† mÖu nÉu	0.66
M?t con ch¢ ?en tr?ng ?ang ng?m m?t qu? b¢ng chÖy trong mi?ng	M?t con ch¢ ?en tr?ng ?ang th? m?t qu? b¢ng chÖy t? mi?ng c?a n¢	0.82
M?t con ch¢ c¢ b? lìng mÖu nÉu vÖ tr?ng ?ang ng?m m?t qu? b¢ng chÖy trong mi?ng	M?t con ch¢ ?en tr?ng ?ang ng?m m?t qu? b¢ng chÖy trong mi?ng	0.82
M?t con ch¢ ?en tr?ng ?ang ng?m m?t qu? b¢ng chÖy trong mi?ng	M?t con ch¢ nÉu vÖ tr?ng ?ang ng?m m?t qu? b¢ng chÖy trong mi?ng	0.68
M?t c?u bÇ m?c qu?n ?ói ?? ?ang nh?y xu?ng h? b?i tr? em	M?t ??a tr? m?c qu?n ?ói ?? ?ang nh?y xu?ng h? b?i tr? em	0.92
M?t c?u bÇ trìng tr? vÖ m?c b? ?? b?i mÖu ?? ?ang nh?y xu?ng h? b?i tr? em mÖu xanh	M?t c?u bÇ m?c qu?n ?ói ?? ?ang nh?y xu?ng h? b?i tr? em	0.8
M?t c?u bÇ m?c qu?n ?ói ?? ?ang nh?y xu?ng h? b?i tr? em	M?t c?u bÇ m?c b? ?? b?i mÖu ?? ?ang nh?y ra kh?i h? b?i tr? em mÖu xanh	0.68
M?t nh¢m ch¢ ?ang ngh? ng?i mÖ khìng c¢ r? m?m	M?t nh¢m ch¢ ?ang ch?y ?ua vÖ c¢ m?m tràn m?i	0.62
M?t nh¢m ch¢ ?ua ?ang m?c ??ng ph?c s?c vÖ ?ang ch?y tràn ???ng ?ua	M?t nh¢m ch¢ ???c nuìi ?? ?ua ?ang m?c ??ng ph?c s?c vÖ ?ang ch?y tràn ???ng ?ua	0.94
M?t nh¢m ch¢ ?ua ?ang m?c ??ng ph?c s?c vÖ ?ang ch?y tràn ???ng ?ua	Khìng c¢ nh¢m ch¢ ?ua m?c ??ng ph?c s?c vÖ ch?y tràn ???ng ?ua	0.8
M?t nh¢m ch¢ ?ang ch?y ?ua vÖ c¢ m?m tràn m?i	M?t nh¢m ch¢ ???c nuìi ?? ?ua ?ang m?c ??ng ph?c s?c vÖ ?ang ch?y tràn ???ng ?ua	0.68
Hai ng??i ?ang ?i b? g?n m?t n??c	Hai ng??i ?ang l?i qua n??c	0.7
Hai ng??i ?ang ??ng tràn bi?n vÖ ng?m hoÖng hìn	Hai ng??i ?ang ??ng tràn bi?n vÖ ng?m hoÖng hìn	1
Hai ng??i ?ang ??ng tràn bi?n vÖ ng?m hoÖng hìn	Hai ng??i ?ang l?i qua n??c	0.66
Hai ng??i ?ang ?i b? g?n m?t n??c	Hai ng??i ?ang ??ng tràn bi?n vÖ ng?m hoÖng hìn	0.68
M?t tay ?ua xe ?ang ??ng làn vÖ ch? tay m?t c†ch d? d?i làn b?u tr?i	M?t tay ?ua xe ?ang ??ng làn vÖ ch? tay làn b?u tr?i	0.92
Ng??i m?c †o kho†c xanh ?ang ??i m?t chi?c m? b?o hi?m nhi?u mÖu s?c	M?t ng??i m?c †o kho†c xanh ?ang ??i m? b?o hi?m nhi?u mÖu s?c	1
Ng??i m?c †o kho†c xanh ?ang ??t m?t chi?c m? b?o hi?m ??y mÖu s?c xu?ng	Ng??i m?c †o kho†c xanh ?ang ??i m?t chi?c m? b?o hi?m nhi?u mÖu s?c	0.66
M?t tay ?ua xe ?ang ??ng làn vÖ ch? tay làn b?u tr?i	Ng??i m?c †o kho†c xanh ?ang ??t m?t chi?c m? b?o hi?m ??y mÖu s?c xu?ng	0.34
Ng??i m?c †o kho†c xanh ?ang ??i m?t chi?c m? b?o hi?m nhi?u mÖu s?c	M?t tay ?ua xe ?ang ng?i vÖ b?t ??ng	0.26
M?t tay ?ua xe ?ang ??ng làn vÖ ch? tay làn b?u tr?i	Ng??i m?c †o kho†c xanh ?ang ??i m?t chi?c m? b?o hi?m nhi?u mÖu s?c	0.36
M?t c?u bÇ vÖ m?t cì bÇ m?c ?? b?i ?ang ?eo phao tay	M?t c?u bÇ vÖ m?t cì bÇ m?c ?? b?i ?ang ?eo phao cho c†nh tay c?a mçnh	0.98
C?u bÇ vÖ cì bÇ ?ang ch?i vÖ ?eo phao tay	C?u bÇ vÖ cì bÇ khìng ch?i vÖ khìng ?eo phao tay	0.72
M?t c?u bÇ vÖ m?t cì bÇ m?c ?? b?i ?ang ?eo phao tay	C?u bÇ vÖ cì bÇ ?ang ch?i vÖ ?eo phao tay	0.88
M?t ng??i ph? n? m?c †o s? mi nhu?m mÖu vÖng ?ang l??t v†n mÖu h?ng	M?t ng??i ph? n? m?c †o s? mi vÖng ?ang l??t v†n mÖu h?ng	0.92
M?t ng??i ph? n? m?c †o s? mi vÖng ?ang l??t v†n mÖu h?ng	Khìng c¢ ng??i ph? n? nÖo m?c †o s? mi vÖng l??t v†n mÖu h?ng	0.64
M?t ng??i l??t s¢ng ?ang r?i kh?i con s¢ng	M?t ng??i l??t s¢ng ?ang c??i s¢ng	0.76
M?t ng??i l??t s¢ng ?ang c??i s¢ng	M?t ng??i l†i xe ?ang v?y tay chÖo m?t ng??i l??t s¢ng	0.48
Con s¢ng ?ang ???c m?t ng??i l??t s¢ng c??i	M?t ng??i ph? n? m?c †o s? mi vÖng ?ang l??t v†n mÖu h?ng	0.72
M?t ng??i l†i xe ?ang v?y tay chÖo m?t ng??i l??t s¢ng	M?t ng??i ph? n? m?c †o s? mi vÖng ?ang l??t v†n mÖu h?ng	0.6
M?t ng??i ph? n? m?c †o s? mi nhu?m mÖu vÖng ?ang l??t v†n mÖu h?ng	M?t ng??i l??t s¢ng ?ang c??i s¢ng	0.7
M?t ng??i l??t s¢ng ?ang c??i s¢ng	Khìng c¢ ng??i ph? n? nÖo m?c †o s? mi vÖng l??t v†n mÖu h?ng	0.44
B?n ng??i ?ang ng?i tràn m?t b? xi m?ng th?p	M?t s? ng??i ?ang ng?i tràn m?t b? xi m?ng th?p	0.9
Nh¢m ng??i ?ang ng?i tràn m?t m?m ?† vÖ quang c?nh tuy?t ??p hi?n ra ph°a sau h?	Nh¢m ng??i ?ang ng?i tràn m?t m?m ?† vÖ quang c?nh tuy?t ??p hi?n ra ph°a sau h?	1
Nh¢m ng??i ?ang ng?i tràn m?t m?m ?† vÖ quang c?nh tuy?t ??p hi?n ra ph°a sau h?	Nh¢m ng??i nÖy khìng ng?i tràn m?t m?m ?† v?i quang c?nh tuy?t ??p ph°a sau h?	0.78
Nh¢m ng??i ?ang ng?i tràn m?t m?m ?† vÖ quang c?nh tuy?t ??p hi?n ra ph°a sau h?	B?n ng??i ?ang ng?i tràn m?t b? xi m?ng th?p	0.66
Nh¢m ng??i nÖy khìng ng?i tràn m?t m?m ?† v?i quang c?nh tuy?t ??p ph°a sau h?	B?n ng??i ?ang ng?i tràn m?t b? xi m?ng th?p	0.54
Nh¢m ng??i ?ang ng?i tràn m?t m?m ?† vÖ quang c?nh tuy?t ??p hi?n ra ph°a sau h?	B?n ng??i ?ang ng?i tràn m?t b? xi m?ng th?p	0.64
Hai cì g†i ?ang c??i vÖ nh?ng cì g†i kh†c ?ang nhçn h?	Khìng c¢ cì g†i nÖo c??i vÖ khìng c¢ cì g†i nÖo kh†c ?ang xem	0.64
M?t nh¢m c†c cì g†i ChÉu ? ?ang ??ng cóng nhau	Nh¢m c†c cì g†i ChÉu ? ?ang ??ng cóng nhau	0.98
M?t nh¢m c†c cì g†i ChÉu ? ?ang ??ng m?t mçnh	M?t nh¢m c†c cì g†i ChÉu ? ?ang ??ng cóng nhau	0.74
M?t nh¢m c†c cì g†i ChÉu ? ?ang ??ng m?t mçnh	Hai cì g†i ?ang c??i vÖ nh?ng cì g†i kh†c ?ang nhçn h?	0.42
M?t nh¢m c†c cì g†i ChÉu ? ?ang ??ng cóng nhau	Hai cì g†i ?ang c??i khìng ng?ng vÖ nh?ng cì g†i kh†c ?ang nhçn h?	0.48
Khìng c¢ cì g†i nÖo c??i vÖ khìng c¢ cì g†i nÖo kh†c ?ang xem	M?t nh¢m c†c cì g†i ChÉu ? ?ang ??ng cóng nhau	0.36
M?t nh¢m c†c cì g†i ChÉu ? ?ang ??ng cóng nhau	Hai cì g†i ?ang c??i vÖ nh?ng cì g†i kh†c ?ang nhçn h?	0.48
M?t ng??i ?i xe ??p ?ang gi? m?t chi?c xe ??p tràn ??u trong m?t nh¢m ng??i	M?t ng??i ?i xe ??p ??n ??c ?ang b? xe ??p xu?ng	0.62
M?t ng??i ?i xe ??p l?nh ?ang ?n m?ng	Khìng c¢ ng??i ?i xe ??p l?nh l?o nÖo ?n m?ng	0.8
