sentence1;sentence2;similarity
Một đàn chó kéo chiếc xe chở người trên con đường đầy tuyết;Người đàn ông mặc áo khoác màu cam đi dạo cùng bầy sói tuyết;0,53
Một đàn chó kéo chiếc xe chở người trên con đường đầy tuyết;Một chiếc xe chở hai người đàn ông được kéo bởi nhiều con chó;0,80
Một đàn chó kéo chiếc xe chở người trên con đường đầy tuyết;Một chiếc xe trượt tuyết đang được kéo bởi một nhóm chó;0,87
Một đàn chó chạy trên tuyết;Người đàn ông mặc áo khoác màu cam đi dạo cùng bầy sói tuyết;0,33
Một đàn chó chạy trên tuyết;Một chiếc xe chở hai người đàn ông được kéo bởi nhiều con chó;0,47
Một đàn chó chạy trên tuyết;Một chiếc xe trượt tuyết đang được kéo bởi một nhóm chó;0,47
Người đàn ông mặc áo khoác màu cam đi dạo cùng bầy sói tuyết;Một chiếc xe chở hai người đàn ông được kéo bởi nhiều con chó;0,67
Người đàn ông mặc áo khoác màu cam đi dạo cùng bầy sói tuyết;Một chiếc xe trượt tuyết đang được kéo bởi một nhóm chó;0,67
Một chiếc xe chở hai người đàn ông được kéo bởi nhiều con chó;Một chiếc xe trượt tuyết đang được kéo bởi một nhóm chó;0,87
Một đàn chó hung dữ kéo xe trượt tuyết;Một đàn chó chạy trên tuyết;0,53
Một đàn chó hung dữ kéo xe trượt tuyết;Người đàn ông đội mũ trùm đầu màu xanh đi dạo cùng bầy sói tuyết;0,47
Một đàn chó hung dữ kéo xe trượt tuyết;Một chiếc xe trượt tuyết chở một người đàn ông được kéo bởi nhiều con chó khỏe mạnh;0,87
Một đàn chó hung dữ kéo xe trượt tuyết;Một nhóm chó đang tăng tốc cùng với một chiếc xe trượt tuyết;0,87
Một đàn chó chạy trên tuyết;Người đàn ông đội mũ trùm đầu màu xanh đi dạo cùng bầy sói tuyết;0,47
Một đàn chó chạy trên tuyết;Một chiếc xe trượt tuyết chở một người đàn ông được kéo bởi nhiều con chó khỏe mạnh;0,40
Một đàn chó chạy trên tuyết;Một nhóm chó đang tăng tốc cùng với một chiếc xe trượt tuyết;0,73
Người đàn ông đội mũ trùm đầu màu xanh đi dạo cùng bầy sói tuyết;Một chiếc xe trượt tuyết chở một người đàn ông được kéo bởi nhiều con chó khỏe mạnh;0,67
Người đàn ông đội mũ trùm đầu màu xanh đi dạo cùng bầy sói tuyết;Một nhóm chó đang tăng tốc cùng với một chiếc xe trượt tuyết;0,60
Một chiếc xe trượt tuyết chở một người đàn ông được kéo bởi nhiều con chó khỏe mạnh;Một nhóm chó đang tăng tốc cùng với một chiếc xe trượt tuyết;0,80
Một cầu thủ bóng rổ lao về phía trước với quả bóng trong tay;Mọi người đang chơi bóng rổ;0,67
Một cầu thủ bóng rổ lao về phía trước với quả bóng trong tay;Hai cầu thủ của hai đội đang cố gắng bắt bóng trong môn bóng rổ;0,47
Một cầu thủ bóng rổ lao về phía trước với quả bóng trong tay;Một cầu thủ khác cố gắng chặn một cầu thủ bóng rổ đang mang bóng;0,60
Một cầu thủ bóng rổ lao về phía trước với quả bóng trong tay;Cầu thủ mặc đồ đen chạy theo bóng;0,73
Mọi người đang chơi bóng rổ;Hai cầu thủ của hai đội đang cố gắng bắt bóng trong môn bóng rổ;0,73
Mọi người đang chơi bóng rổ;Một cầu thủ khác cố gắng chặn một cầu thủ bóng rổ đang mang bóng;0,67
Mọi người đang chơi bóng rổ;Cầu thủ mặc đồ đen chạy theo bóng;0,53
Hai cầu thủ của hai đội đang cố gắng bắt bóng trong môn bóng rổ;Một cầu thủ khác cố gắng chặn một cầu thủ bóng rổ đang mang bóng;0,73
Hai cầu thủ của hai đội đang cố gắng bắt bóng trong môn bóng rổ;Cầu thủ mặc đồ đen chạy theo bóng;0,53
Một cầu thủ khác cố gắng chặn một cầu thủ bóng rổ đang mang bóng;Cầu thủ mặc đồ đen chạy theo bóng;0,53
Một trận đấu bóng bầu dục đang diễn ra sôi nổi;Mọi người đang chơi bóng bầu dục;0,80
Một trận đấu bóng bầu dục đang diễn ra sôi nổi;Trong một trận đấu bóng bầu dục;0,47
Một trận đấu bóng bầu dục đang diễn ra sôi nổi;Một trường hợp cầu thủ bóng bầu dục bị bắt trong pha truy cản;0,67
Một trận đấu bóng bầu dục đang diễn ra sôi nổi;Một nhóm thanh niên đang chơi bóng bầu dục;0,67
Mọi người đang chơi bóng bầu dục;Trong một trận đấu bóng bầu dục;0,47
Mọi người đang chơi bóng bầu dục;Một trường hợp cầu thủ bóng bầu dục bị bắt trong pha truy cản;0,40
Mọi người đang chơi bóng bầu dục;Một nhóm thanh niên đang chơi bóng bầu dục;0,87
Trong một trận đấu bóng bầu dục;Một trường hợp cầu thủ bóng bầu dục bị bắt trong pha truy cản;0,40
Trong một trận đấu bóng bầu dục;Một nhóm thanh niên đang chơi bóng bầu dục;0,53
Một trường hợp cầu thủ bóng bầu dục bị bắt trong pha truy cản;Một nhóm thanh niên đang chơi bóng bầu dục;0,60
Một cuộc thi đấu kiếm được tổ chức;Người dân luyện tập đấu kiếm;0,87
Một cuộc thi đấu kiếm được tổ chức;Hai cầu thủ cố gắng giành bóng từ cầu thủ đối phương;0
Một cuộc thi đấu kiếm được tổ chức;Một người đàn ông đang tập kiếm tấn công một người khác bằng kiếm;0,80
Một cuộc thi đấu kiếm được tổ chức;Một nhóm người mặc đồ trắng đang luyện tập một trò chơi;0,53
Người dân luyện tập đấu kiếm;Hai cầu thủ cố gắng giành bóng từ cầu thủ đối phương;0
Người dân luyện tập đấu kiếm;Một người đàn ông đang tập kiếm tấn công một người khác bằng kiếm;0,80
Người dân luyện tập đấu kiếm;Một nhóm người mặc đồ trắng đang luyện tập một trò chơi;0,53
Hai cầu thủ cố gắng giành bóng từ cầu thủ đối phương;Một người đàn ông đang tập kiếm tấn công một người khác bằng kiếm;0,13
Hai cầu thủ cố gắng giành bóng từ cầu thủ đối phương;Một nhóm người mặc đồ trắng đang luyện tập một trò chơi;0,40
Một người đàn ông đang tập kiếm tấn công một người khác bằng kiếm;Một nhóm người mặc đồ trắng đang luyện tập một trò chơi;0,60
Một người đàn ông đi xe đạp;Một người đàn ông thực hiện karanam với sự trợ giúp của một chiếc xe đạp;0,87
Một người đàn ông đi xe đạp;Hai người chơi đang đấu kiếm;0,20
Một người đàn ông đi xe đạp;Một người đàn ông trên một bánh xe đang ở trên một sợi dây;0,40
Một người đàn ông đi xe đạp;Một người đi xe đạp cưỡi một chiếc xe đạp qua một sợi dây;0,67
Một người đàn ông thực hiện karanam với sự trợ giúp của một chiếc xe đạp;Hai người chơi đang đấu kiếm;0,27
Một người đàn ông thực hiện karanam với sự trợ giúp của một chiếc xe đạp;Một người đàn ông trên một bánh xe đang ở trên một sợi dây;0,47
Một người đàn ông thực hiện karanam với sự trợ giúp của một chiếc xe đạp;Một người đi xe đạp cưỡi một chiếc xe đạp qua một sợi dây;0,67
Hai người chơi đang đấu kiếm;Một người đàn ông trên một bánh xe đang ở trên một sợi dây;0,13
Hai người chơi đang đấu kiếm;Một người đi xe đạp cưỡi một chiếc xe đạp qua một sợi dây;0,27
Một người đàn ông trên một bánh xe đang ở trên một sợi dây;Một người đi xe đạp cưỡi một chiếc xe đạp qua một sợi dây;0,87
Một nhóm người đang chơi trong bể bơi;Mọi người đang ở trong một bể bơi;0,93
Một nhóm người đang chơi trong bể bơi;Người đàn ông áo đỏ khoe những pha nguy hiểm trên xe đạp ngoài trời;0
Một nhóm người đang chơi trong bể bơi;Có thứ gì đó rơi xuống cạnh các cậu bé trong bồn tắm;0,67
Một nhóm người đang chơi trong bể bơi;Một nhóm thanh niên vui đùa trong bể bơi;0,87
Mọi người đang ở trong một bể bơi;Người đàn ông áo đỏ khoe những pha nguy hiểm trên xe đạp ngoài trời;0
Mọi người đang ở trong một bể bơi;Có thứ gì đó rơi xuống cạnh các cậu bé trong bồn tắm;0,67
Mọi người đang ở trong một bể bơi;Một nhóm thanh niên vui đùa trong bể bơi;0,80
Người đàn ông áo đỏ khoe những pha nguy hiểm trên xe đạp ngoài trời;Có thứ gì đó rơi xuống cạnh các cậu bé trong bồn tắm;0,27
Người đàn ông áo đỏ khoe những pha nguy hiểm trên xe đạp ngoài trời;Một nhóm thanh niên vui đùa trong bể bơi;0
Có thứ gì đó rơi xuống cạnh các cậu bé trong bồn tắm;Một nhóm thanh niên vui đùa trong bể bơi;0,73
Một nhóm người đang chuẩn bị thả một quả bóng bay lớn;Chuẩn bị phóng khinh khí cầu;0,87
Một nhóm người đang chuẩn bị thả một quả bóng bay lớn;Hình như có người nhảy xuống bể bơi;0
Một nhóm người đang chuẩn bị thả một quả bóng bay lớn;Một số người lấp đầy một quả bóng bay;0,80
Một nhóm người đang chuẩn bị thả một quả bóng bay lớn;Một nhóm người đang cố gắng ném một quả bóng lên;0,93
Chuẩn bị phóng khinh khí cầu;Hình như có người nhảy xuống bể bơi;0
Chuẩn bị phóng khinh khí cầu;Một số người lấp đầy một quả bóng bay;0,80
Chuẩn bị phóng khinh khí cầu;Một nhóm người đang cố gắng ném một quả bóng lên;0,73
Hình như có người nhảy xuống bể bơi;Một số người lấp đầy một quả bóng bay;0
Hình như có người nhảy xuống bể bơi;Một nhóm người đang cố gắng ném một quả bóng lên;0
Một số người lấp đầy một quả bóng bay;Một nhóm người đang cố gắng ném một quả bóng lên;1
Một người đàn ông chơi trong tuyết chơi karanam;Một người đàn ông nhảy lên và ném karanam;0,87
Một người đàn ông chơi trong tuyết chơi karanam;Một nhóm người chuẩn bị đi du lịch trên khinh khí cầu;0
Một người đàn ông chơi trong tuyết chơi karanam;Một vận động viên trượt tuyết nhảy từ trên cao xuống;0,73
Một người đàn ông chơi trong tuyết chơi karanam;Một người mặc bộ đồ màu xanh đang chơi đùa trong tuyết;0,73
Một người đàn ông nhảy lên và ném karanam;Một nhóm người chuẩn bị đi du lịch trên khinh khí cầu;0
Một người đàn ông nhảy lên và ném karanam;Một vận động viên trượt tuyết nhảy từ trên cao xuống;0,73
Một người đàn ông nhảy lên và ném karanam;Một người mặc bộ đồ màu xanh đang chơi đùa trong tuyết;0,53
Một nhóm người chuẩn bị đi du lịch trên khinh khí cầu;Một vận động viên trượt tuyết nhảy từ trên cao xuống;0
Một nhóm người chuẩn bị đi du lịch trên khinh khí cầu;Một người mặc bộ đồ màu xanh đang chơi đùa trong tuyết;0
Một vận động viên trượt tuyết nhảy từ trên cao xuống;Một người mặc bộ đồ màu xanh đang chơi đùa trong tuyết;0,73
Hai ông lớn tham gia sumo;Mọi người đang luyện tập sumo;0,87
Hai ông lớn tham gia sumo;Một người đàn ông đội mũ bảo hiểm màu xanh lá cây và áo khoác màu xanh lam đang trượt tuyết trên tuyết;0
Hai ông lớn tham gia sumo;Hai đô vật đấu vật nảy lửa;0,87
Hai ông lớn tham gia sumo;Hai người đàn ông đang đẩy nhau;0,73
Mọi người đang luyện tập sumo;Một người đàn ông đội mũ bảo hiểm màu xanh lá cây và áo khoác màu xanh lam đang trượt tuyết trên tuyết;0
Mọi người đang luyện tập sumo;Hai đô vật đấu vật nảy lửa;0,80
Mọi người đang luyện tập sumo;Hai người đàn ông đang đẩy nhau;0,73
Một người đàn ông đội mũ bảo hiểm màu xanh lá cây và áo khoác màu xanh lam đang trượt tuyết trên tuyết;Hai đô vật đấu vật nảy lửa;0
Một người đàn ông đội mũ bảo hiểm màu xanh lá cây và áo khoác màu xanh lam đang trượt tuyết trên tuyết;Hai người đàn ông đang đẩy nhau;0
Hai đô vật đấu vật nảy lửa;Hai người đàn ông đang đẩy nhau;0,87
Một người chơi quần vợt đánh một quả bóng tennis bằng gậy;Mọi người đang chơi quần vợt;0,87
Một người chơi quần vợt đánh một quả bóng tennis bằng gậy;Hai người đang tham gia môn thể thao sumo;0
Một người chơi quần vợt đánh một quả bóng tennis bằng gậy;Một người chơi quần vợt chuẩn bị đánh bóng bằng gậy;0,87
Một người chơi quần vợt đánh một quả bóng tennis bằng gậy;Một thanh niên đang chơi quần vợt;0,80
Mọi người đang chơi quần vợt;Hai người đang tham gia môn thể thao sumo;0
Mọi người đang chơi quần vợt;Một người chơi quần vợt chuẩn bị đánh bóng bằng gậy;0,60
Mọi người đang chơi quần vợt;Một thanh niên đang chơi quần vợt;0,87
Hai người đang tham gia môn thể thao sumo;Một người chơi quần vợt chuẩn bị đánh bóng bằng gậy;0,27
Hai người đang tham gia môn thể thao sumo;Một thanh niên đang chơi quần vợt;0
Một người chơi quần vợt chuẩn bị đánh bóng bằng gậy;Một thanh niên đang chơi quần vợt;0,67
Một người chơi tennis chuẩn bị đánh quả bóng tennis bằng gậy;Mọi người đang chơi quần vợt;0,73
Một người chơi tennis chuẩn bị đánh quả bóng tennis bằng gậy;Vận động viên quần vợt mặc áo cam đánh bóng bằng gậy;0,87
Một người chơi tennis chuẩn bị đánh quả bóng tennis bằng gậy;Một người đàn ông chơi quần vợt chuẩn bị đánh bóng;0,87
Một người chơi tennis chuẩn bị đánh quả bóng tennis bằng gậy;Một thanh niên đang chơi quần vợt;0,80
Mọi người đang chơi quần vợt;Vận động viên quần vợt mặc áo cam đánh bóng bằng gậy;0,73
Mọi người đang chơi quần vợt;Một người đàn ông chơi quần vợt chuẩn bị đánh bóng;0,67
Mọi người đang chơi quần vợt;Một thanh niên đang chơi quần vợt;0,93
Vận động viên quần vợt mặc áo cam đánh bóng bằng gậy;Một người đàn ông chơi quần vợt chuẩn bị đánh bóng;0,80
Vận động viên quần vợt mặc áo cam đánh bóng bằng gậy;Một thanh niên đang chơi quần vợt;0,80
Một người đàn ông chơi quần vợt chuẩn bị đánh bóng;Một thanh niên đang chơi quần vợt;0,73
Một tay đua mô tô thực hiện pha nguy hiểm;Một người đàn ông thực hiện karanam với sự trợ giúp của một chiếc xe đạp;0,80
Một tay đua mô tô thực hiện pha nguy hiểm;Vận động viên quần vợt mặc áo cam đánh bóng bằng gậy;0
Một tay đua mô tô thực hiện pha nguy hiểm;Một người đàn ông nhảy lên xe máy;0,73
Một tay đua mô tô thực hiện pha nguy hiểm;Một nhóm người đang xem một cuộc đua xe máy;0,27
Một người đàn ông thực hiện karanam với sự trợ giúp của một chiếc xe đạp;Vận động viên quần vợt mặc áo cam đánh bóng bằng gậy;0
Một người đàn ông thực hiện karanam với sự trợ giúp của một chiếc xe đạp;Một người đàn ông nhảy lên xe máy;0,60
Một người đàn ông thực hiện karanam với sự trợ giúp của một chiếc xe đạp;Một nhóm người đang xem một cuộc đua xe máy;0,27
Vận động viên quần vợt mặc áo cam đánh bóng bằng gậy;Một người đàn ông nhảy lên xe máy;0
Vận động viên quần vợt mặc áo cam đánh bóng bằng gậy;Một nhóm người đang xem một cuộc đua xe máy;0,07
Một người đàn ông nhảy lên xe máy;Một nhóm người đang xem một cuộc đua xe máy;0,33
Một vận động viên bơi lội cạnh tranh lao về phía trước;Một người đàn ông tham gia cuộc thi bơi lội;0,73
Một vận động viên bơi lội cạnh tranh lao về phía trước;Một người biểu diễn trên chiếc xe máy của mình trước đám đông tại một buổi biểu diễn;0
Một vận động viên bơi lội cạnh tranh lao về phía trước;Người bơi thở khi bơi;0,73
Một vận động viên bơi lội cạnh tranh lao về phía trước;Một thanh niên đang bơi trong bể bơi;0,73
Một người đàn ông tham gia cuộc thi bơi lội;Một người biểu diễn trên chiếc xe máy của mình trước đám đông tại một buổi biểu diễn;0
Một người đàn ông tham gia cuộc thi bơi lội;Người bơi thở khi bơi;0,67
Một người đàn ông tham gia cuộc thi bơi lội;Một thanh niên đang bơi trong bể bơi;0,80
Một người biểu diễn trên chiếc xe máy của mình trước đám đông tại một buổi biểu diễn;Người bơi thở khi bơi;0
Một người biểu diễn trên chiếc xe máy của mình trước đám đông tại một buổi biểu diễn;Một thanh niên đang bơi trong bể bơi;0
Người bơi thở khi bơi;Một thanh niên đang bơi trong bể bơi;0,80
Một nhóm phụ nữ đang chơi bóng ném trên bãi biển;phụ nữ trẻ chơi bóng chuyền;0,80
Một nhóm phụ nữ đang chơi bóng ném trên bãi biển;Một thanh niên tham gia cuộc thi bơi lội;0
Một nhóm phụ nữ đang chơi bóng ném trên bãi biển;bốn người phụ nữ đang chơi bóng trên bãi biển;0,87
Một nhóm phụ nữ đang chơi bóng ném trên bãi biển;Một nhóm phụ nữ đang chơi đùa trên bãi biển;0,73
phụ nữ trẻ chơi bóng chuyền;Một thanh niên tham gia cuộc thi bơi lội;0
phụ nữ trẻ chơi bóng chuyền;bốn người phụ nữ đang chơi bóng trên bãi biển;0,87
phụ nữ trẻ chơi bóng chuyền;Một nhóm phụ nữ đang chơi đùa trên bãi biển;0,73
Một thanh niên tham gia cuộc thi bơi lội;bốn người phụ nữ đang chơi bóng trên bãi biển;0
Một thanh niên tham gia cuộc thi bơi lội;Một nhóm phụ nữ đang chơi đùa trên bãi biển;0
bốn người phụ nữ đang chơi bóng trên bãi biển;Một nhóm phụ nữ đang chơi đùa trên bãi biển;0,73
Một người đàn ông cưỡi ngựa trên bãi biển;Một người đàn ông cưỡi ngựa;0,80
Một người đàn ông cưỡi ngựa trên bãi biển;Một nhóm phụ nữ đang tham gia một trận đấu bóng chuyền bãi biển;0,07
Một người đàn ông cưỡi ngựa trên bãi biển;Một người phụ nữ cưỡi ngựa;0,53
Một người đàn ông cưỡi ngựa trên bãi biển;Một người đàn ông đang cưỡi ngựa trên bãi biển;0,93
Một người đàn ông cưỡi ngựa;Một nhóm phụ nữ đang tham gia một trận đấu bóng chuyền bãi biển;0
Một người đàn ông cưỡi ngựa;Một người phụ nữ cưỡi ngựa;0,73
Một người đàn ông cưỡi ngựa;Một người đàn ông đang cưỡi ngựa trên bãi biển;0,73
Một nhóm phụ nữ đang tham gia một trận đấu bóng chuyền bãi biển;Một người phụ nữ cưỡi ngựa;0,07
Một nhóm phụ nữ đang tham gia một trận đấu bóng chuyền bãi biển;Một người đàn ông đang cưỡi ngựa trên bãi biển;0
Một người phụ nữ cưỡi ngựa;Một người đàn ông đang cưỡi ngựa trên bãi biển;0,73
Một nhóm cầu thủ bóng rổ đang chơi;Mọi người đang chơi bóng rổ;0,87
Một nhóm cầu thủ bóng rổ đang chơi;một người phụ nữ cưỡi ngựa trên bãi biển;0
Một nhóm cầu thủ bóng rổ đang chơi;Hai cầu thủ của đội xanh cố gắng ngăn cản cầu thủ bóng rổ của đội trắng;0,67
Một nhóm cầu thủ bóng rổ đang chơi;Một nhóm thanh niên đang tham gia chơi bóng rổ;0,80
Mọi người đang chơi bóng rổ;một người phụ nữ cưỡi ngựa trên bãi biển;0
Mọi người đang chơi bóng rổ;Hai cầu thủ của đội xanh cố gắng ngăn cản cầu thủ bóng rổ của đội trắng;0,47
Mọi người đang chơi bóng rổ;Một nhóm thanh niên đang tham gia chơi bóng rổ;0,73
một người phụ nữ cưỡi ngựa trên bãi biển;Hai cầu thủ của đội xanh cố gắng ngăn cản cầu thủ bóng rổ của đội trắng;0
một người phụ nữ cưỡi ngựa trên bãi biển;Một nhóm thanh niên đang tham gia chơi bóng rổ;0
Hai cầu thủ của đội xanh cố gắng ngăn cản cầu thủ bóng rổ của đội trắng;Một nhóm thanh niên đang tham gia chơi bóng rổ;0,67
Có một con vật trên cánh đồng;Một con sóc đang đợi bên cánh đồng cỏ;0,80
Có một con vật trên cánh đồng;Các cầu thủ của đội đối phương sẵn sàng giật bóng từ tay cầu thủ mặc áo trắng trong trận đấu bóng rổ.;0,07
Có một con vật trên cánh đồng;Một hang động lớn đang đứng trên hai chân;0,80
Có một con vật trên cánh đồng;Một con vật đang đứng gần bãi cỏ xanh;0,87
Một con sóc đang đợi bên cánh đồng cỏ;Các cầu thủ của đội đối phương sẵn sàng giật bóng từ tay cầu thủ mặc áo trắng trong trận đấu bóng rổ.;0
Một con sóc đang đợi bên cánh đồng cỏ;Một hang động lớn đang đứng trên hai chân;0,80
Một con sóc đang đợi bên cánh đồng cỏ;Một con vật đang đứng gần bãi cỏ xanh;0,53
Các cầu thủ của đội đối phương sẵn sàng giật bóng từ tay cầu thủ mặc áo trắng trong trận đấu bóng rổ.;Một hang động lớn đang đứng trên hai chân;0
Các cầu thủ của đội đối phương sẵn sàng giật bóng từ tay cầu thủ mặc áo trắng trong trận đấu bóng rổ.;Một con vật đang đứng gần bãi cỏ xanh;0
Một hang động lớn đang đứng trên hai chân;Một con vật đang đứng gần bãi cỏ xanh;0,80
Một con hươu nhảy qua hàng rào dây thép;Một con hươu nhảy qua hàng rào;0,87
Một con hươu nhảy qua hàng rào dây thép;Một con sóc đang ngồi trên cỏ;0
Một con hươu nhảy qua hàng rào dây thép;Một con hươu nhảy qua hàng rào dây thép;1
Một con hươu nhảy qua hàng rào dây thép;Một con nai cố gắng nhảy qua hàng rào;0,93
Một con hươu nhảy qua hàng rào;Một con sóc đang ngồi trên cỏ;0
Một con hươu nhảy qua hàng rào;Một con hươu nhảy qua hàng rào dây thép;1
Một con hươu nhảy qua hàng rào;Một con nai cố gắng nhảy qua hàng rào;0,87
Một con sóc đang ngồi trên cỏ;Một con hươu nhảy qua hàng rào dây thép;0
Một con sóc đang ngồi trên cỏ;Một con nai cố gắng nhảy qua hàng rào;0
Một con hươu nhảy qua hàng rào dây thép;Một con nai cố gắng nhảy qua hàng rào;0,80
Một nhóm phụ nữ đang chơi bóng ném trên bãi biển;phụ nữ trẻ chơi bóng chuyền;0,67
Một nhóm phụ nữ đang chơi bóng ném trên bãi biển;Chú nai con nhảy qua hàng rào dây thép;0
Một nhóm phụ nữ đang chơi bóng ném trên bãi biển;Bốn người phụ nữ chơi bóng chuyền;0,80
Một nhóm phụ nữ đang chơi bóng ném trên bãi biển;Một nhóm phụ nữ đang chơi đùa trên bãi biển;0,67
phụ nữ trẻ chơi bóng chuyền;Chú nai con nhảy qua hàng rào dây thép;0
phụ nữ trẻ chơi bóng chuyền;Bốn người phụ nữ chơi bóng chuyền;0,87
phụ nữ trẻ chơi bóng chuyền;Một nhóm phụ nữ đang chơi đùa trên bãi biển;0,73
Chú nai con nhảy qua hàng rào dây thép;Bốn người phụ nữ chơi bóng chuyền;0
Chú nai con nhảy qua hàng rào dây thép;Một nhóm phụ nữ đang chơi đùa trên bãi biển;0
Bốn người phụ nữ chơi bóng chuyền;Một nhóm phụ nữ đang chơi đùa trên bãi biển;0,67
Một người đàn ông chơi với một chiếc xe đạp;Một người đàn ông thực hiện karanam với sự trợ giúp của một chiếc xe đạp;0,73
Một người đàn ông chơi với một chiếc xe đạp;Một nhóm phụ nữ đang tham gia một trận đấu bóng chuyền bãi biển;0
Một người đàn ông chơi với một chiếc xe đạp;Cậu bé đi xe đạp nguy hiểm;0,47
Một người đàn ông chơi với một chiếc xe đạp;Nam thanh niên đạp xe vượt tường;0,60
Một người đàn ông thực hiện karanam với sự trợ giúp của một chiếc xe đạp;Một nhóm phụ nữ đang tham gia một trận đấu bóng chuyền bãi biển;0
Một người đàn ông thực hiện karanam với sự trợ giúp của một chiếc xe đạp;Cậu bé đi xe đạp nguy hiểm;0,67
Một người đàn ông thực hiện karanam với sự trợ giúp của một chiếc xe đạp;Nam thanh niên đạp xe vượt tường;0,60
Một nhóm phụ nữ đang tham gia một trận đấu bóng chuyền bãi biển;Cậu bé đi xe đạp nguy hiểm;0
Một nhóm phụ nữ đang tham gia một trận đấu bóng chuyền bãi biển;Nam thanh niên đạp xe vượt tường;0
Cậu bé đi xe đạp nguy hiểm;Nam thanh niên đạp xe vượt tường;0,73
Một con chim bay qua sông;Một con ngỗng bay trên mặt nước;0,73
Một con chim bay qua sông;Một người khoe cuộc phiêu lưu bằng xe đạp của mình;0
Một con chim bay qua sông;Một con thiên nga di chuyển nhanh chóng trong nước;0,60
Một con chim bay qua sông;Một con chim cố gắng bay khỏi mặt nước;0,60
Một con ngỗng bay trên mặt nước;Một người khoe cuộc phiêu lưu bằng xe đạp của mình;0
Một con ngỗng bay trên mặt nước;Một con thiên nga di chuyển nhanh chóng trong nước;0,60
Một con ngỗng bay trên mặt nước;Một con chim cố gắng bay khỏi mặt nước;0,67
Một người khoe cuộc phiêu lưu bằng xe đạp của mình;Một con thiên nga di chuyển nhanh chóng trong nước;0
Một người khoe cuộc phiêu lưu bằng xe đạp của mình;Một con chim cố gắng bay khỏi mặt nước;0
Một con thiên nga di chuyển nhanh chóng trong nước;Một con chim cố gắng bay khỏi mặt nước;0,60
Một nhóm người đang xem một người đàn ông biểu diễn karanam;Một người đàn ông nhảy lên và ném karanam;0,60
Một nhóm người đang xem một người đàn ông biểu diễn karanam;Một con chim trắng chuẩn bị cất cánh khỏi mặt nước;0
Một nhóm người đang xem một người đàn ông biểu diễn karanam;Một đứa trẻ nhảy xuống cầu thang trên ván trượt;0,47
Một nhóm người đang xem một người đàn ông biểu diễn karanam;Một thanh niên cố gắng trượt xuống cầu thang trên bàn trượt;0,40
Một người đàn ông nhảy lên và ném karanam;Một con chim trắng chuẩn bị cất cánh khỏi mặt nước;0
Một người đàn ông nhảy lên và ném karanam;Một đứa trẻ nhảy xuống cầu thang trên ván trượt;0,53
Một người đàn ông nhảy lên và ném karanam;Một thanh niên cố gắng trượt xuống cầu thang trên bàn trượt;0,60
Một con chim trắng chuẩn bị cất cánh khỏi mặt nước;Một đứa trẻ nhảy xuống cầu thang trên ván trượt;0
Một con chim trắng chuẩn bị cất cánh khỏi mặt nước;Một thanh niên cố gắng trượt xuống cầu thang trên bàn trượt;0
Một đứa trẻ nhảy xuống cầu thang trên ván trượt;Một thanh niên cố gắng trượt xuống cầu thang trên bàn trượt;0,60
Một cầu thủ bóng rổ lấy bóng từ một cầu thủ khác;Mọi người đang chơi bóng rổ;0,47
Một cầu thủ bóng rổ lấy bóng từ một cầu thủ khác;Nam thanh niên thể hiện kỹ năng trượt băng trước đám đông;0
Một cầu thủ bóng rổ lấy bóng từ một cầu thủ khác;Cầu thủ bóng rổ không có bóng cố gắng ngăn cản cầu thủ bóng rổ có bóng;0,53
Một cầu thủ bóng rổ lấy bóng từ một cầu thủ khác;Người chơi áo xanh cố gắng ngăn cản người chơi áo trắng;0,40
Mọi người đang chơi bóng rổ;Nam thanh niên thể hiện kỹ năng trượt băng trước đám đông;0,07
Mọi người đang chơi bóng rổ;Cầu thủ bóng rổ không có bóng cố gắng ngăn cản cầu thủ bóng rổ có bóng;0,53
Mọi người đang chơi bóng rổ;Người chơi áo xanh cố gắng ngăn cản người chơi áo trắng;0,40
Nam thanh niên thể hiện kỹ năng trượt băng trước đám đông;Cầu thủ bóng rổ không có bóng cố gắng ngăn cản cầu thủ bóng rổ có bóng;0,07
Nam thanh niên thể hiện kỹ năng trượt băng trước đám đông;Người chơi áo xanh cố gắng ngăn cản người chơi áo trắng;0
Cầu thủ bóng rổ không có bóng cố gắng ngăn cản cầu thủ bóng rổ có bóng;Người chơi áo xanh cố gắng ngăn cản người chơi áo trắng;0,73
Một cầu thủ bóng rổ cố gắng ghi bàn;Mọi người đang chơi bóng rổ;0,60
Một cầu thủ bóng rổ cố gắng ghi bàn;Cầu thủ bóng rổ có hình xăm với quả bóng va chạm với một cầu thủ của đội kia;0,47
Một cầu thủ bóng rổ cố gắng ghi bàn;Một cầu thủ cố gắng đưa quả bóng vào rổ;0,93
Một cầu thủ bóng rổ cố gắng ghi bàn;Người chơi áo trắng cố gắng ngăn cản người chơi áo xanh;0,47
Mọi người đang chơi bóng rổ;Cầu thủ bóng rổ có hình xăm với quả bóng va chạm với một cầu thủ của đội kia;0,53
Mọi người đang chơi bóng rổ;Một cầu thủ cố gắng đưa quả bóng vào rổ;0,67
Mọi người đang chơi bóng rổ;Người chơi áo trắng cố gắng ngăn cản người chơi áo xanh;0,53
Cầu thủ bóng rổ có hình xăm với quả bóng va chạm với một cầu thủ của đội kia;Một cầu thủ cố gắng đưa quả bóng vào rổ;0,53
